timestamp;fulltext_org;familyId;newspaper_page;rubrik
02/01/1920;"Man bliver noget mismodig ved den Nytaarshilsen og Tak for Julen, som Minister H. P. Haussens gamle Aabenraablad sender herop. Ministerens Organ erklærer, at Nordslesvigerne foler sig som Stedbørn, at de føler sig forurettede ved alle de gode Gaver, der sendes til Flensborg. Naa, ja! Vi kender jo alle dette Tilfælde, at det ene Barn synes, at det andet faar meget mere ; det er vanskeligt at gøre alle Bom tilpas. Man skal selvfølgelig aldrig tale om Gaver, man skal mindst tale om Hjælp, man yder paa rette Sted. Der er vist et gammelt Ord, der siger, at man aldrig skal lade den højre Haand vide, hvad den venstre gør. Alligevel tror vi, at det ikke vil være ubeskedent at sige, at Danmark har givet til Sønnerne hinsides Aaen med rund Haand og af et fuldt Hjerte. Der er intet at rose sig af, og det gør vi ikke heller; vi har kun gjort vor Pligt, og vi forlanger slet ingen Tak derfor. Imidlertid er det nu en Gang »aaledes, at om en Moders Hjerte end slaar lige varmt for alle Børnene, saa har Moderen dog en særlig Omhu for det Barn, der har det særlig strengt., for det Barn, der er mest udsat, lad os sige for det svageligste. Det kan være, at en lille Ekstragave ved Tid og Lejlighed kan komme et saadant Barn til gode, ﬂmÿen d et bør dette Barns Broder eller Søster aldrig lade sig mærke med, at man bliver fortrydelig over. Moderens Kærlighed til hendes andre Bom bliver derved ikke mindre. Danmark gør ingen Forskel paa Kærligheden til sine Bom, hvad enten de bor i den første eller den anden Zone. De er for os omslyngede af det samme Kærlighedens Baand. Men for os'staar nu Sønnerne i 2. Zone paa en mere udsat Post end Sønnerne i 1. Zone. Om disse sidste ved vi, at de klarer sig nok ved egen Hjælp, De har Sikkerheden, Forvisningen om at vende tilbage til det Land, soffi de saa trofast har holdt fast ved i 55 Aar. Yi ved, at de har gennemgaaet haarde Tider, tunge Trængsler, men vi ved ogsaa, at for dem er Solen staaet op, ﬂdeÿt ly sn er alt over Vangen. Mon vi ved ogsaa, at Sønnerne 1 2. Zone har Trang til al den Hjælp, Brug for al den Kærlighed, der kan ydes dem og vises dem i deres sidste store Kamp for at vende tilbage til det Land, som de ligesaa trofast har hængt ved som deres nordligere Brødre. Det er muligt, at Kærligheden har givet sig et synligere Udslag til Sønnerne mod Syd, men saa er det netop paa samme Vis som Moderen, der støtter sit mest udsatte Barn uden derfor at have mindre Kærlighed til de andre Høm. Hvad man havde haft Ret til at vente, var, at Brodrene mod Nord, Nordslesvigerne, som Minister H. P. Ilanssen vil have dem kaldt, formodentlig for at hefte Betegnelsen Sydslesvigerne paa de fuldt saa gode danske Flensborgere, havde haft Forstaaelsen af, at det nu gjaldt om at hjælpe en Broder i Nød, en Broder, der kæmper en Kamp saa haard, som 1. Zones Mænd jo ikke behover, Vi tror ogsaa, at Brodrene mod Nord har Forstaaelsen heraf, og vi føler os forvissede om, at Udtalelserne i ﬂÿ   H e j mk aun a ls k""yldes en Art Smitte fra et vist Sted. Ærgrelsen, Vrantenheden over, at der ydes en kraftig Støtte til de Mænd, hvis Sag man fra denne bestemte Side altid kun lunkent har forsvaret Vi føler os overbeviste om, at Nordslesvigerne, som IL P. Hanssen kalder dem, til fulde indser, at i den kommende Kamp gælder det at løfte i Flok, og at det er ganske naturligt, at det ikke bliver den mindste Hjælp, der ydes paa det Sted, hvor Kampen bliver haardest. Sønderjyderne har altid vidst at handle efter gamle Bjørnsons Forskrift: Takten, Takteif, pas paa Takten, den er mer' end halve Magten . . . Alle danske Sønderjyder ser med Forvent orr Forha åbning ben til Flensborg. Først naar de faldne Helte hviler i dansk Jord, er Sønderjylland vundet, forst saa er Maalet naaet. Denne skurrende Tone fra H. P. Hanssens Blad bør være et forbigaaende Moment, som ingen Indflydelse faar paa den kommende Kamp. Her oppe vil man forstaa at vurdere .Udtalelserne om Forurettelserne paa rette Maade. Vi kender Selskabet, og vi kender Tonen. Vi føler os forvissede om, at naar Dagen kommer, naar forst Afgørelsen skal træffes, saa vil der staa en kompakt Masse, Skulder ved Skulder, fra Kongeaaen og saa langt sydpaa, som Stemmesedlen rækker, Mænd, som ikke vil spørge, om den ene fik mere end len anden, men Mænd som løfter i Flok, som passer paa Takten, og som foler sig, som det de alle er, som ﬂdÿans ke Sønderjyder.  ";ribestiftstidende;1;Takten,Takten
02/01/1920;"Hanssen-Nørremølles Blad og Gaverne til Sønderjylland. Interessante oplysninger af Fru Marie Lassen. H z.iiledning as. at ﬂÿ   H e j m d a t "" geiincm Ritzaus Bureau har udsendt Uddrag af eu Artikel, hvori det bl. a. antydes, at Kleusborgborn og tysse Born fra TlcSvig og Husum favoriseres paa Bekostning af Born i Nordslesvig med Hensyn til Ophold i Tanmark og Gaver her fra Landet, har Kru Marie Lassen , Udgiver af Venstrebladet ﬂÿ   A a l bA om rts gtidende"", udsendt folgende gennem Ritzaus Bureau, der ikke vil undlade at vække en vis Korbavselse, som er alt andet end smigrende for det ministerielle Aabenraablads Korsog paa at vække Misfornøjelse med den danske Offervillighed: Mod den af ﬂÿ   H e j mg den ane lm "" Ritzaus Bureau udsendte Artikel maa jeg protestere for Sønderjydfl Fonds Vedkommende. Fra Fordelingsudvalget, hvori jeg har Sæde, er der taget ligelige H e n s y n, og vi har ønsket, at Gaverne fjerfra skulde fordeles saa retfærdigt som muligt. Til Jul er der bleven fordelt for over V4 Miil. Kr. Varer i Sønderjylland, og dette er sket procentvis pr. Indbygger i første øg anden Zone. Det er naturligvis pinligt at diskutere, hvad der er givct og ikke givet. Derfor flal jeg ittdflrænke mig til dette angaaende Gaverne. Hvis ﬂÿ   H e j md edr iam lo ""d ikke indrømmer, at jeg har Ret i. hvad jeg her skriver, vil Udvalget fremkomme med cn Statistik over vore Forsendelser. Hvad angaar ﬂÿ   H e j m Ud data l- "" s lelser om de tyfle Børn og Born fra Husum og Slesvig, saa virker det ejendommeligt paa os, som i For- sommeren var indbudt til og overværede et Møde hos Tepartementschcfen i Justitsministeriet. Ved dette Mode var til Stede Medlemmer af Børnekomiteen for sønderjydflc Børns Ferieophold i Kongcriact samt Medlemmer fra Sønderjydfl Fonds Forretningsudvalg, hvoriblandt jeg. Vi var alle af den Formening, at Departementschefen havde indbudt os, fordi han vilde være Opmand i cn Sag, hvori de to Komilcer i et bestc: -t Sporgsmaal havde en noget divergerende Opfattelse. Jeg tor nok med et mildt Udtryk sige, at vi alle blev forbavsede, da Departementschefen i Stedet for med et Ord at berøre denne Sag spurgte, out vi var villige til at indbyde 1000 Børn fra K i c I og Neu m u n s t c r herop paa Ferieophold; thi i saa Fald vilde Ministeriet være villigt til at give Samtykke til, at Antallet af de Born, som det oprindeligt var givet Komiteen Tilladelse til at invitere til Kongeriget, forøgedes. Jeg for mit Vedkommende svarede, at jeg ikke som Medlem af For retningsudvalaet for Sønderjydfl Fond kunde tiltræde, at vi af Fondets Midler bevilgede Penge til Laudophold for tyske Born, da dette ganske stred mod Fondets Program, hvad jeg ogsaa mente laa i sclve Navnet Sønderjydfl Fond. Min Opfattelse blev ganske tiltraadt af de øvrige tilstedeværende Medlemmer af vort Forretningsudvalg, og noget lignende svarede Bornekomiteens Medlemmer. Hermed var Bisdet forbi. Jeg har ikke for, hverken i mit Blad eller andet Sted, offentligt omtalt denne Tag; men naar ﬂÿ   H e j m - dal"", Minister H. P. Hanssens Blad. skriver om de tyske Børns Ophold her i Landet, som det gør, ser jeg mig foranlediget til at fremdrage denne Episode. Børnekomiteen maa svare for sig. Tens Forbindelse med Sonderjydfl Fond er iovrigt denne, at Fondet har bevilget 50000 Kr. til den uden at have Indflydelse paa Pengenes Anvendelse. Tette var nemlig Stridspunktet, i hvilket vi troede, Departementschefen den nævnte Tag Vilde tttægle. ";ribestiftstidende;1;Hanssen-Nørremølles Blad og Gaverne til Sønderjylland. Interessante oplysninger af Fru Marie Lassen.
02/01/1920;H. P. Hanssen udnævnes til dansk Minister, - Hindenburg er traadt tilbage.;ribestiftstidende;4;1919. Af aarets dagbog. April
03/01/1920;"Det sønderjydske Spørgsmaal. Vi stulde nu ved Genforeningen gerne staa enige; men dog er der opstaaet Splid. Ten forste Spire hertil blev lagt ved Regeringens Udncrvncl- se af H. P. Hanssen som Minister uden om det sonderjydfke Udvalg og de andre politiste Partier, til Trods for trufne Aftaler. Desuden har Regeringen ogsaa begavet en Fejl ved ikke at have gjort sin Indflydelse gældende til Fordel for 3. Zones Romning, det Krav, som Sonderjyderne har lagt saa stcrrk Vcrgt pak. Endelig mener jeg, at Ministeriet har forset sig ved ikke kraftigt at protestere mod Rigskansler Bauers Udtalelser. Fra Venstres Side har vi flere Gange foreslaact Dannelsen af et Samlingsministerium, og det vilde have vcrret fuldt saa godt, om vi havde faaet et saadant. I. C. Christensen sluttede med et “L ev Danemark!""";ribestiftstidende;1;Det sønderjydske Spørgsmaal. 
03/01/1920;"Ministerbladet i Aabenraa og dets klageraab. Bladet “  D a n s k ere” Haderslev skriver i Anledning af Minister H. P. Hanssens Blad “  H e j m d a l "" s usmagelige Beklagelse over, at der ved Uddeling af Julegaver fra Danmark til Sonderjylland siges at være tildelt Flensborg og 2. Zone mere end 1. Zone bl. a.: “  Dkl æed ter ikke hverken Ministerens Organ eller de Kredse, det er Taleror for. Særlig utiltalende er den Form, man giver sine Betragtninger over Sprogforstcllen. Med Hensyn til Udtalelsen om, at der gi- ves en gammel nordslesvigsk Linie i vor Politik, kan gi give Bladet Ret. Det gav sig blandt andet Udslag i. at Initiativet til Sprogsoreningens Oprettelse hovedsagelig udgik fra Flensborg, og at Foreningen alle Dage rcgnede Flensborg Bv med ind under sit Omraade. Det samme har været Tilfældet med baade Vælgerforening og Skoleforening. Ingen af dem standsede ved Skelbækken. Tværtimod rakte den gamle nordslesvigske Linie i vor Politik altid til s o n d e n 0 m Flensborg. Derfor siger ogsaa Dr. Mackcprang i sin Bog “  N o r d - slesvig"" om Valgene i Februar og August 1867, hvor der var dansk Flertal til en Linie Syd for Flensborg, at “  vd eis sde to Valg var Nordslesvig bleven fastslaaet som et bestemt politisk-geografiff Begreb"". Denne gamle nordslesvigske Linie 1 vor Politik er efter .Krigens Afslutning bleven fraveget, idet man med Clausenlinien lob fremstaa et nyt og snævrere Nordslesvig og Tyd for Linien et paa Forhaand opgivet Mellemflesvig. Det er dette ny og snævrere Nordslesvig, som Aabenraa- Gruppen onsser at repræsentere, medens Flensborg-Gruppen ifolge sin Sammensætning og sine mere vidtsavnende Interesser med Rette gor $mv paa at staa der, hvor vi har staact gennem hele vor Nationalitetskamp, paa den gamle nordslesvigske Politiks faste og hæderfulde Stade. Den sær-nordslesvigske Politik, som Minister Hanssen og hans Gruppe nu gor sig til Talsmand for, kan rnaasse have andre gode Dyder. Men den gamle nordslesvigske Linie i vor Politik fortsætter den ikke. Det er Flensborg-Gruppen alene om.";ribestiftstidende;2;Ministerbladet i Aabenraa og dets klageraab.
03/01/1920;Den sønderjyske Vælgerforening misbilliger Zahles Optræden ved Minister Hanssens Udnævnelse.;ribestiftstidende;4;1919. Af aarets dagbog. Juli
08/01/1920;"Disse Indlæg bekræfter paany ﬂÿ   ligesom tidligere Indlæg (gengivet her i Bladet 22. Tecbr. f. A.) Rigligheden af de i vor Artikel den 11. December givne Lplysnniger, hvor vi gjorde opmærksom paa det fordækre Arbejde, der var i Gang, for paa Trods af Vælgerfor e n i n g e n at søge Monopol for I Kreditforeningsvirksomheden givet til ﬂÿ   Nso ynderjydsk Landkreditfor ening"" alene. Minister Haussens Organ i Aabenraa fortalte den Gang, at vore Oplysninger var ﬂÿ   m i s v i s e ong d e "" at ﬂÿ   R Si bti ftes-Tidende"" som sæd vanlig var daarligt underrettet om de virkelige Forhold. Vor Opfor dring til Bladet om at bevise, hvad der var forkert i vore Oplys ninger, har det ﬂsÿelvfø lg eligﬂikÿ   ke kunnet efterkomme, hvorimod det nu ved gentagne Indlæg fra en Ræk ke ansete Mænds Tide er tilstrækkeligt godtgjort, at ﬂÿ   R iS bt iefts-Ti i>ende""s Oplysninger var uom støde lig korrekte. ";ribestiftstidende;2;Kreditforenings-spørgsmaalet i Sønderjylland. Hvad Kloppenborg-Skrumsager oplyser!
09/01/1920;"Valuta-Raadet nedsættes. -Nordslesvigsk Vælgerforenings Tilsynsraadholder Mode i Aabenraa;Minister H. P. Hanssen faar enringe Majoritet.";ribestiftstidende;4;1919. Af aarets dagbog. December
10/01/1920;I det sønderjyske Spørgsmaal falder særligt for Brystet den Maade, hvorpaa Regeringen bragte H. P. Hanssen ind i Ministeriet det skafede Brydninger i dette Sporgsmaal ;ribestiftstidende;2;Valgretten
12/01/1920;200 Agitationsmøder i Sønderjylland. De danske Agitation smoder begynderTorsdag med Moder i Haderslev,Grirasby, Skærbæk og Romo. I Haderslev skal H. P Hanssen tale, hvis det er ham muligtat komme. Der er fastsat omtrent 100 Moder i forste Zone og  lige saa mange i anden Zone;ribestiftstidende;1;200 Agitationsmøder i Sønderjylland.
